date,composite
1996-12-01,40.710012416751326
1997-01-01,58.55453385084269
1997-02-01,70.84562914227662
1997-03-01,60.57568574331188
1997-04-01,65.09428970538436
1997-05-01,59.43407501842592
1997-06-01,53.02282048387703
1997-07-01,56.910902382946865
1997-08-01,44.81755841517102
1997-09-01,62.8594004482931
1997-10-01,62.6693193362682
1997-11-01,65.91344101061559
1997-12-01,66.19333333333333
1998-01-01,49.589938461538466
1998-02-01,60.052142857142854
1998-03-01,51.06874074074075
1998-04-01,53.081875000000004
1998-05-01,59.522322515212984
1998-06-01,37.32650000000001
1998-07-01,38.82876910016977
1998-08-01,47.440562500000006
1998-09-01,52.63647186147187
1998-10-01,52.760828877005345
1998-11-01,48.662596273291925
1998-12-01,50.84055555555556
1999-01-01,45.633908108108116
1999-02-01,56.115273279352216
1999-03-01,61.877065527065525
1999-04-01,62.19226785714285
1999-05-01,63.54933978132884
1999-06-01,58.265047619047614
1999-07-01,74.00131657914478
1999-08-01,67.26377840909092
1999-09-01,61.28527272727273
1999-10-01,67.8082672634271
1999-11-01,64.8197112462006
1999-12-01,66.90465277777778
2000-01-01,76.22985934914506
2000-02-01,49.07204210526316
2000-03-01,67.51586726998491
2000-04-01,74.26638461538462
2000-05-01,61.15829268292683
2000-06-01,68.95535714285714
2000-07-01,52.27970190274841
2000-08-01,44.153173701298705
2000-09-01,56.41807602339182
2000-10-01,53.5396964017991
2000-11-01,32.428768481788666
2000-12-01,19.58445833333333
2001-01-01,30.769595182335223
2001-02-01,35.24285161290322
2001-03-01,24.918118580765636
2001-04-01,32.45629807692306
2001-05-01,37.12993033381712
2001-06-01,35.607786195286195
2001-07-01,28.65236227951152
2001-08-01,30.021355042016808
2001-09-01,28.22447749809305
2001-10-01,23.32303448275863
2001-11-01,25.493060396275965
2001-12-01,28.048555555555566
2002-01-01,28.817332135638907
2002-02-01,29.674594594594595
2002-03-01,32.88386031746032
2002-04-01,32.216085526315794
2002-05-01,33.41967232767233
2002-06-01,32.30515734265734
2002-07-01,31.929944266011717
2002-08-01,31.472477941176464
2002-09-01,19.866100375738043
2002-10-01,28.248958188153324
2002-11-01,31.055200237570006
2002-12-01,24.763234126984116
2003-01-01,34.9403078162772
2003-02-01,28.96443903205531
2003-03-01,47.1997264367816
2003-04-01,30.13788277511962
2003-05-01,37.55646869983949
2003-06-01,39.62901282051282
2003-07-01,39.02369036027264
2003-08-01,42.47971195652174
2003-09-01,53.75473914774991
2003-10-01,46.2051388168137
2003-11-01,46.86656753329106
2003-12-01,51.2633556547619
2004-01-01,44.8543802304427
2004-02-01,43.38788443284291
2004-03-01,53.20369905956112
2004-04-01,55.17210454545455
2004-05-01,53.8855679163422
2004-06-01,54.516035947712425
2004-07-01,55.76500373412995
2004-08-01,45.300980351170566
2004-09-01,53.3611351766513
2004-10-01,56.78643918105178
2004-11-01,54.65415395966552
2004-12-01,61.36593749999999
2005-01-01,60.53500756644283
2005-02-01,67.75630983302412
2005-03-01,51.31326508326508
2005-04-01,62.78793392857143
2005-05-01,56.990741259966704
2005-06-01,62.88170278637771
2005-07-01,57.01459645420008
2005-08-01,64.5057625994695
2005-09-01,39.92867887667888
2005-10-01,52.247783818356254
2005-11-01,58.73445810099741
2005-12-01,57.47475
2006-01-01,61.49912313291379
2006-02-01,63.70701937406856
