date,value
1986-06-01,370500.0
1986-07-01,362000.0
1986-08-01,407400.0
1986-09-01,395500.0
1986-10-01,383250.0
1986-11-01,363200.0
1986-12-01,358250.0
1987-01-01,345600.0
1987-02-01,348750.0
1987-03-01,333250.0
1987-04-01,336250.0
1987-05-01,331000.0
1987-06-01,322250.0
1987-07-01,319250.0
1987-08-01,325600.0
1987-09-01,309750.0
1987-10-01,300000.0
1987-11-01,306750.0
1987-12-01,318750.0
1988-01-01,335600.0
1988-02-01,318750.0
1988-03-01,305500.0
1988-04-01,312200.0
1988-05-01,313750.0
1988-06-01,308250.0
1988-07-01,321600.0
1988-08-01,314750.0
1988-09-01,304500.0
1988-10-01,291400.0
1988-11-01,290500.0
1988-12-01,293200.0
1989-01-01,289750.0
1989-02-01,303750.0
1989-03-01,322000.0
1989-04-01,311800.0
1989-05-01,324500.0
1989-06-01,333000.0
1989-07-01,341600.0
1989-08-01,334500.0
1989-09-01,336000.0
1989-10-01,363250.0
1989-11-01,336750.0
1989-12-01,355200.0
1990-01-01,361000.0
1990-02-01,358250.0
1990-03-01,345200.0
1990-04-01,361750.0
1990-05-01,355250.0
1990-06-01,362400.0
1990-07-01,367000.0
1990-08-01,384250.0
1990-09-01,394000.0
1990-10-01,425250.0
1990-11-01,446750.0
1990-12-01,455000.0
1991-01-01,439750.0
1991-02-01,484000.0
1991-03-01,498600.0
1991-04-01,467250.0
1991-05-01,447000.0
1991-06-01,428600.0
1991-07-01,418250.0
1991-08-01,431600.0
1991-09-01,424500.0
1991-10-01,422750.0
1991-11-01,445400.0
1991-12-01,456750.0
1992-01-01,439000.0
1992-02-01,442200.0
1992-03-01,429500.0
1992-04-01,418250.0
1992-05-01,417400.0
1992-06-01,418750.0
1992-07-01,442750.0
1992-08-01,407200.0
1992-09-01,417000.0
1992-10-01,377800.0
1992-11-01,362250.0
1992-12-01,339000.0
1993-01-01,345600.0
1993-02-01,338250.0
1993-03-01,351000.0
1993-04-01,354750.0
1993-05-01,343600.0
1993-06-01,342750.0
1993-07-01,350800.0
1993-08-01,341000.0
1993-09-01,339000.0
1993-10-01,349800.0
1993-11-01,341000.0
1993-12-01,323000.0
1994-01-01,359200.0
1994-02-01,348500.0
1994-03-01,335750.0
1994-04-01,344000.0
1994-05-01,359000.0
1994-06-01,340000.0
1994-07-01,342200.0
1994-08-01,336250.0
1994-09-01,330250.0
1994-10-01,333400.0
1994-11-01,328000.0
1994-12-01,323200.0
1995-01-01,333500.0
1995-02-01,337750.0
1995-03-01,340250.0
1995-04-01,350200.0
1995-05-01,370250.0
1995-06-01,366250.0
1995-07-01,371400.0
1995-08-01,356250.0
1995-09-01,362000.0
1995-10-01,371500.0
1995-11-01,377000.0
1995-12-01,365000.0
1996-01-01,374000.0
1996-02-01,377250.0
1996-03-01,386400.0
1996-04-01,359250.0
1996-05-01,344500.0
1996-06-01,342200.0
1996-07-01,337000.0
1996-08-01,331800.0
1996-09-01,342750.0
1996-10-01,339000.0
1996-11-01,336400.0
1996-12-01,353500.0
1997-01-01,339000.0
1997-02-01,320750.0
1997-03-01,319400.0
1997-04-01,327000.0
1997-05-01,323800.0
1997-06-01,325500.0
1997-07-01,320250.0
1997-08-01,330200.0
1997-09-01,315250.0
1997-10-01,310000.0
1997-11-01,314600.0
1997-12-01,313250.0
1998-01-01,321200.0
1998-02-01,319000.0
1998-03-01,315000.0
1998-04-01,311000.0
1998-05-01,311200.0
1998-06-01,338000.0
1998-07-01,333000.0
1998-08-01,312600.0
1998-09-01,304000.0
1998-10-01,310600.0
1998-11-01,316000.0
1998-12-01,316000.0
1999-01-01,326200.0
1999-02-01,301500.0
1999-03-01,302750.0
1999-04-01,308500.0
1999-05-01,301600.0
1999-06-01,294000.0
1999-07-01,298000.0
1999-08-01,290750.0
1999-09-01,289500.0
1999-10-01,290400.0
1999-11-01,281750.0
1999-12-01,278500.0
2000-01-01,288400.0
2000-02-01,293750.0
2000-03-01,274750.0
2000-04-01,271600.0
2000-05-01,282250.0
2000-06-01,291000.0
2000-07-01,295000.0
2000-08-01,312750.0
2000-09-01,300200.0
2000-10-01,301000.0
2000-11-01,334250.0
